Tweet,Polaridad,Subjetividad
"Muchas gracias, me ayudó lo suficiente, el cargo ya no procedió, se poaron muy bn aun cuando no me pude comunicar por teléfono, fueron muy amables, mil gracias por su interés se hizo cargo de todo",0.414375,0.5475
"Increíble, gracias HeyBanco!!@heybanco",0.60625,0.55
Me contestaron que sí.,0,0
Gracias,0.2,0.16
Gracias!,0.2,0.16
Graciaaas.,0.2,0.16
"Gracias por estar al pendiente,estoy segura que se va a poner las pilas para que lleguen los incentivos, si no estaré pidiendo su apoyo.",0.35,0.5444444444444444
"💰La sexta opción está opción es de las mejores, su pagaré a 7 días es el mejor del mercado con tasa del 10% anual solo que la inversión aquí es desde $5,000, tiene un plan de metas que te dan rendimiento a mes vencido del 4% y tú dinero disponible en cualquier momento",0.6,0.5
🇬🇹 qué buena onda por vos David 👏👏 a disfrutarlo!!!,0.740625,0.55
¡Gracias,0.2,0.16
"Eso se agradece, el aviso 👏🏼👏🏼👏🏼👏🏼👏🏼",0.2,0.1
"Gracias, ya se ve reflejado. Solucionado. Gracias",0,0
"Listo, gracias!",0.225,0.35
Muchas gracias!,0.25,0.2
Los tkm ♥️,0,0
"Coesía de Anímense a sacar cuenta de Hey, muchas gracias por el regalo c:@nei_aokii",0.26,0.26
te lo súper recomiendo. Y no te cobran el plástico.,0.3333333333333333,0.6666666666666666
"Afounadamente, en México tenemos , que nos da el 10% de lo que tenemos en la cuenta! 👌🏼",0.4,0.7
"Muchas gracias por darme respuesta, ya se solucionó mi problema, excelente día!",0.63,0.63
Gracias !,0,0
"Muchas gracias, el equipo de me ayudó a resolver el problema y me dieron la recompensa que gané.",0.26,0.26
Gracias ! Este mes me tocó boletoDorado,0.2,0.16
Bello!,0,0
Aún hay esperanza.. congrats !!,0,0
Gracias 😊😊😊,0.2,0.16
Gracias.,0.2,0.16
Muchas gracias 👌👌,0.26,0.26
Gracias por mi premio de boletodorado ya canjee mi tarjeta de regalo,0.2,0.2
Tío gracias por mi boleto Dorado. Ya por fin me tocó algo.,0.16666666666666666,0.5666666666666667
No mames que buena suee!,0.875,0.6000000000000001
"segundo premio, espero lleguen más",0.25,0.25
Gracias!!!,0.2,0.16
Gracias ☺️,0.2,0.16
Gracias por el apoyo con el seguimiento,0.2,0.2
Gracias tio hey! Esto nos ayuda bastante.,0.2,0.2
Muchas gracias Un mes gratis de,0.33,0.53
Muchísimas gracias ya me resolvió. Saludos!,0.325,0.26
Vale gracias 😃,0.2,0.2
Ya funcionó. Como que se cayo sólo por unos segundos. Estuvo raro. Muchas gracias,0,0.43333333333333335
Gracias por ser pae de el FC Barcelona,0.2,0.2
cuando me darán un crédito tradicional ya llevo más de un año con una tarjeta de credito en garantía y he cumplido con mis pagos en tiempo y forma,0.25,0.625
Ok gracias,0.35,0.35
"Despues de estar 1 año probando la tarjeta de Crédito de puedo decir que es muy buena y ni hablar de la cuenta de débito, realmente en temas de seguridad en transacciones, MUY TOP. tqm Hey.",0.4366666666666666,0.42666666666666675
"Amistad, usa si usas tu tarjeta 6 veces al mes en compras de $100 pesos te vuelves “HeyPro” y tu inversión te da un rendimiento de 10% anual que está súper súper bien con comparación a otros bancos o inveir a 25 años con Allianz a mi me explicó mi prima y suena rebien",0.3104166666666667,0.5770833333333334
Excelente,0.8,0.75
"Vientos, gracias",0.2,0.2
me encantaria presumir mi premio de boleto dorado... Si tan solo existiera...,0.26666666666666666,0.7000000000000001
me pueden proporcionar el link para invitar a más gente y tener mi beneficio.Gracias,0.5,0.5
Gracias 👏🏼,0,0
"Gracias, lo checo",0.2,0.2
¿Ya no habrá Viaje Financiero del 2022?😣 estaba muy buena esa información,0.45499999999999996,0.39000000000000007
Gracias por el dato y cómo fue soeo 👀?,0.2,0.2
"Buen día, como me.pueden ayudar ya que me realizaron un deposito a mi cuenta de credito pero lo necesito a la de crédito",0.7,0.6000000000000001
Muchas gracias,0.2,0.2
Gracias ya se solucionó. Buenas tardes,0.2,0.2
Lo realizaré.Gracias.,0,0
En Diciembre me gane una tarjeta de regalo en Amazon con el ticket dorado de HeyBanco y me compre esto:*se emociona en señora*,0.3375,0.625
Me funcionó mil gracias,0.2,0.2
Gracias pero no es necesario. es una buena opción. Hasta el momento no he tenido problemas graves con ellos solo es adaptarme a sus procesos. Pero aún así creo que van por buen camino. Aunque en ocasiones me hagan enojar,0.075396825,0.667063492
Mmm. te da el rendimiento del 10% Es buena opción.,0.7,0.6000000000000001
Gracias por mi aumento de crédito en mi tarjeta 💳!! Muy contenta con sus servicios! ♥️,0.65625,0.6
Hablando de Ajolotes el banco sacara esta tarjeta y me encanto.. 👌🏼😊,0.7,0.8
"sería la mejor TDC si se pudiera realizar pagos por adelantado en los meses sin intereses como en otras cuentas, siendo una opción excelente para muchos usuarios",0.475,0.5349999999999999
"Casi me rindo cuando no obtuve ayuda del equipo de sopoe, afounadamente alguien aquí me refirió a en twitter Envíale un mensaje privado y me lo arregló, todo gracias a él, contáctalo ahora.",0.075,0.29375
Gracias por ser el mejor banco ✨,0.6,0.25
"HeyBanco tiene pagarés semanales con 10% anual. O sea, a la semana ya obtienes rendimientos y eso lo puedes reinveir en el siguiente pagaré (de forma automática). Como generas interés compuesto muy rápido, es muchísimo mejor que el 11% anual de CETES.",0.25333333333333335,0.4266666666666667
"Alch, hechate unas investigadas de CETES, GMB y Hey+. CETES si ocupas investigar chido pero es muy seguro y Hey+ con HeyBanco es dinero seguro y rapido pero poco.",0.29062499999999997,0.5625
Excelente servicio de atención a clientes en HeyBanco 10/10,1,1
Por primera vez gané algo en el boleto dorado de mi d'Or los quiero mucho 🥰🖤,0.3275,0.4233333333333333
Ok muchas gracias 😊,0.38,0.38
Gracias. Porque tengo una duda,0,0
¡Gracias a ti por formar pae de esta gran familia!,0.6,0.475
"Después de lo de hoy, la vida y mi banco favorito dijeron: ten un tarjeta de regalo para que te eches un Starbucks y te relajes un rato.",0.5,1
100 % recomendado la vdd,0,0
Para ver si eres fit y viable para seguros de vida! XD,0.4,0.4
"Que interesante lo que encontré en los permisos que utiliza la aplicación de ⁦@heybanco⁩, estaba activada, como para que lo necesitan?",0.5,0.5
"Yo la eh pensado cambiar mi nomina con ellos, la tengo con y muy agusto.Que bueno que me dicen para no sacar tarjeta ahí",0.2,0.3
"gracias!!!! ahora, vi algo en relacion a transferencias internacionales... donde veo información?",0,0
"Pues más vale, la verdad",0.5,0.5
Ya está todo listo..,0.2,0.5
Me acaba de llegar la constancia fiscal de y el año pasado gané $2400 nomas de tener mi dinero guardado con ellos. 10/10,0,0.066666667
Jamás al menos la amex la primera anualidad es gratis y te da beneficios por compras el primer año y bonos.,0.15000000000000002,0.4666666666666667
"Gracias por la respuesta, estaré al pendiente",0.2,0.2
Hola buenas tardes,0.7,0.6000000000000001
"Buen día, muchas gracias! Ya respondí al DM. Me tardé porque pensé que no respondían en la noche hehe",0.44999999999999996,0.45000000000000007
Gracias,0,0
Tqm gracias por poner retiros en cajeros hsbc es el q tengo más cerquita,0.35,0.35
"real esa tarjeta es la neta, en general el banco es 10/10",0.083333333,0.26666666666666666
Que bueno que perdí mi tarjeta porque necesitaba una nueva con este diseño.,0.41818181818181815,0.5272727272727273
.@heybanco tqm 🫶 no solo es de los mejores bancos con su producto TDC o pagarés bancarios (inveir). Además sabe que ando de foráneo y me regalo dinerito en Amazon 😌con mi boleto dorado,0.43333333333333335,0.6
"Hola buen día, Al solicitar una tarjeta con diseño nuevo tengo que utilizarla?Recién esta por llegarme la metálica, sin embargo me atraen mucho los diseños como coleccionable… y no quisiera pedir una y perder la metal🤔",0.11212121212121211,0.6181818181818183
"Gracias, hasta ahorita los amo 💙",0.32857142857142857,0.44523809523809527
Gracias bro,0.2,0.2
"Gracias, ya lo envié.",0.2,0.2
"Gracias por responder, quedo en espera de la solución al problema.",0.2,0.16
yo hice varias transferencias hace rato y todo bien,0.35,0.30000000000000004
Estoy muy contesta de compairles esta colaboración que hice con Hey Banco,0.2,0.3
"Ah ya, gracias, mencionas lo evidente sin nada de relevancia, excelente comentario.",0.4,0.65
“Agradecemos tu comprensión” jaja increíble,0.2,0.3
Es correcto. De BBVA a BBVA sin problemas. Ya en Hey avisaron que hasta las 7 aproximadamente.,-0.4,0.6
Gracias ya les respondí,0.2,0.2
Listo!! Gracias,0.24,0.16
Perfecto! Gracias ☺️,0.21,0.19
Pero que tremenda sabiduría 👏 me quede anonadado con este mensaje yo creía que la cantidad que ponía de garantía se utilizaba para los niños sin alimento o para los indigentes y que con eso ya después te entregaban una tarjeta de crédito 💳 😱 que tremenda explicación,0.3333333333333333,1
Esta padrisima la tarjeta!!,0.25,0.3
"Está muy bonito, me hace considerar adquirir la tarjeta",0.78,1
Gracias. Ya le mande todos mis datos de mi tarjeta.,0.2,0.13
"Sí, sin problema:D",1,1
"La primera no había sido la de chichen itza ?Estoy esperando esa, pero este modelo está bonito también.",0.55,0.6666666666666666
"Tengo BBVA y Bancoppel, las dos trabajan a la perfección.",1,1
Entiendo le agradezco el comentario y como sugerencia me gustaría recibir una notificación correo o texto de que el servicio no estará disponible para no caer en esta situación ya que me sirve de mucha utilidad la tarjeta y me gustaría seguir con ustedes.,0.395,0.2
Que bien! 👍🏼,0.1,0.11
"Me siento poderosa !!! Gracias , estoy muy contenta !!!!🐝✨👑",0.5953125,0.7333333333333334
Esta bien,0,0
"Yo la tengo y es una maravilla, Servicio eficiente y la app de primera. ¡¡¡Altamente recomendable!!!!!",0.881469727,0.6666666666666666
"Ay no, yo ya tengo la mia y ese diseño esta super cool !!!",0.5084635416666666,0.6583333333333333
"Animense, ya casi un año con la tarjeta de credito heygarantizada y sin problemas, incluyendo en el extranjero",0.03,0.4
"Gracias, según recuerdo esto ya lo había hecho el día que la fuí a activar pero volveré a hacerlo tanto para la TDD cómo la TDC, gracias:)",0.35,0.6
Mucho exito! heybanco,0.2,0.2
"Hola muchas gracias por su respuesta en DM👌, con lo que me indicaron ya logre hacer el movimiento que requeria",0.26,0.26
¡Manifiesto!✨️ Hoy fui y salí enmoradísima. Me subí y así casi que me voy a dar una vuelta ¡Hermosisimo el carro! ¡Háganme la buena!❤️‍🔥🙏💕,0.875,0.6000000000000001
Ustedes son mi banco y la verdad lo estan haciendo muy bien!,0.25,0.3
Definitivamente👆🏽,0,0.5
Gracias por secuestrar la plata en Ahorro 🤦‍♂️Bitcoin fixes this... literalmente eso me salva 🙄,0.2,0.2
Gracias la transferencia fue aplicada al día siguiente,0.1,0.1
"Gracias, ya lo resolví jajaja, me equivoqué",-0.033333333,0.5
Quedó aclarado el tema. Gracias.,-0.166666667,0.3333333333333333
eso es bueno saberlo,0.7,0.6000000000000001
Gracias por la información 🙏,0.2,0.2
Gracias!,0.21,0.16
Listo!!!,0,0
"Se cayó la app de todo ha sido una buena experiencia con ustedes, no me fallen cuando se les necesita",0.475,0.45000000000000007
La verdad es menos tedioso el proceso de hablar con alguien en me agrada mucho la experiencia.,-0.333333333,0.5333333333333333
"Gracias, ya les contesté",0.2,0.16
ayuda!!!,-0.07,0
"Si gracias, les volví a contestar hace un par de horas",0.2,0.2
"Fue más rápido marcar, tuve que hacer una caa de hechos en donde ponía los datos que quería cambiar y ya lo hicieron, por fin pude instalar el Token. el chico que me atendió súper bueno y amable! Se llama Christhian Hernández ❤️",0.3444444444444444,0.7555555555555555
"me avisan si van a la quiebra, para sacar mi dinero de inversión a 7 días porfas y muchas gracias de antemano los amo ✨❤️‍🔥",0.38,0.43
"Yeah, son los mejores a pesar del veto",1,0.3
Muchas gracias!,0.25,0.2
"solucionado, muchas gracias 🫶🏼",0.26,0.26
Ya se puede,0,0
Gracias!,0.2,0.16
Gracias :),0.5,1
"Me siguen hablando en horario laboral.El que su personal de DHL descuide su trabajo, no significa que yo tenga que descuidar el mío.Si me van a hablar, que sea después de las 15 hrs o 3 pm.Agradezco que ésta vez si lean mi horario y me hablen cuando puedo atender el teléfono.",0.15625,0.6875
Exacto puntos lealtad que solo se cambian en su tiendaPor lo menos en Santander si tienda tenía tecnología y aículos para el hogar Mejor que lo cambien por más cashback,0.19,0.53
Verdaderamente el mejor banco que hay 💖✨ los tqm mucho 🤠,0.6,0.25
Excelente!!,1,0.75
Excelente,0.8,0.75
Muy bien excelente,1,1
"Me gane un mes de Spotify y no soy usuario 😄, mejor que me cambien mi tarjeta, me gusta más la blanca del negocio. 😁",0.25,0.25
es excelente! Yo eh trabajo varios años con ellos y todo perfecto,0.5,0.5
Super! Ojalá que esto pueda ser corregido en la app entonces. Apareció así hace unos días de repente. Gracias!Cc.,-0.25,0.1
"Ya les contesté, gracias",0.2,0.2
Listos !!!!!!!!,0.953674316,0.5
"Gracias ya los conocí, los use, y hoy los dejo, definitivamente no son lo mio, pero si los recomiendo! 👍 Bancos fintech mexicano",0,0
"Cámbiate a HeyBanco, hasta el momento es la mejor que he probado. Te dan 2% de todo lo que gastas, y es dinero gratis si eres como yo que siempre paga a tiempo y nunca paga intereses.",0.5,0.7000000000000001
Wwwooowww que maravilla felicidades y por supuesto que ahí estaré para disfrutar de mi Chica Dorada,0.5666666666666667,0.6666666666666666
En verdad les agradezco ya que no tengo la tarjeta de débito y la necesito,0.2,0.2
Muchas gracias por la información ahí nos vemos el 3 de Junio,0.26,0.26
Es una DJ increíble,0.9,0.9
Muchas graciasQuedo en esperaSaludos.,0.26,0.26
La Supermana hermosa 💕,0.85,1
Gracias por el seguimiento!,0.25,0.2
mi primera tdc 💳💓 thx,0.1,0.14
Gracias por su respuesta,0.2,0.2
"Gracias, espero su pronta respuesta de agradecimiento",0.2,0.2
Estoy sorprendido como permite que se organicen esas cosas. 🤮,0.1,0.9
"Gracias, como siempre super buena y rápida, la atención de su pae.",0.41111111111111104,0.6222222222222222
Muchas gracias :),0.35,0.6
"Hola Quiero decirles que muchas gracias por el seguimiento a mi problema sobre el Token, ya quedo resuelto Muy buena atención, al final no fue problema de pae suya sino de mi operadora Saludos.",0.585,0.52
Gracias,0.2,0.16
Hey ya no nos hagan sufrir más a los de la dinámica de tikitoki jajaja 😭💖,0.2,0.4
Que tal buen dia. Necesito ayuda.,0.7,0.6000000000000001
"Excelente servicio en atención a clientes 🫶🏻, nunca cambien! ❤️",1,1
OJITO ahí con las dinámicas de el día de hoy gane una dinámica para un abono del pal noe en donde me etiqueta…,0.15,0.18333333333333335
Saludos bro. Gracias por ver los vídeos.,0.14,0
Gracias!,0.2,0.16
"Gracias, tocayo. Soy tu fan. ;)",0.225,0.6
¡Hola! Permíteme conocer más de tu caso vía mensaje privado para poder dae la atención necesaria y rápida. ¡Saludos!,0.25,0.62
OJITO ahí con las dinámicas de el día de hoy gane una dinámica para un abono del pal noe en donde me etiqueta…,0.15,0.18333333333333335
o fácil,0.43333333333333335,0.8333333333333334
Gracias,0.2,0.16
"Hola! Ntp después de otros intentos me pudieron asistir, gracias!",-0.15625,0.375
Si la anualidad es de $999. Si juntas $100k estas libre de la anualidad. Mucho mejor que ese pedazo de metal VISA Standard,0.3,0.43333333333333335
"exacto, todas son duales",0.25,0.25
Por eso Fondeadora Metal es World Elite;),0.25,1
Ok gracias,0.35,0.35
"Gracias a Dios, JAJAJA.",0.2,0.4
igual a mi con amazon.,0,0.25
This is the oppounity of a lifetime! Gotta watch this web3 developer's MEV strategy video and learn how to make some serious cash with crypto.,-0.333333333,0.6666666666666666
"Ese hombre merece que le mandes además de tan grata felicitación una foto especial, única y sin censura autografiada x la Diosa de TW.",0.36636904761904765,0.7595238095238095
Que Dios le pague con muchos hijos.,0.5,0.5
"No te había dicho que conozco a Angel, pero es muy tímido, si gustas yo le hago llegar el presente",-0.325,0.325
"Gracias, ya recibí el código 👍",0.2,0.2
"también agradezco mucho a las personas que han querido hacer donaciones para el vestuario, sin duda lo agradezco y aprecio enormemente; si ustedes gustan donar algo pueden hacerlo a la clabe 058597000024431851 en HeyBanco a nombre de Noris Vargas G. (Sin embargo también pueden",0.21428571428571427,0.5714285714285714
Jajaja muy bien!,0.225,0.35
OJITO ahí con las dinámicas de el día de hoy gane una dinámica para un abono del pal noe en donde me etiqueta…,0.15,0.18333333333333335
Amigues por primera vez en mi vida gane una dinámica JAJAJAJAJA Gracias no gane el pastel pero si esta dinámica ✨,0.01,0.31333333333333335
Teniendo tantas juntas de Cashback y viendo los beneficios me dan ganas de sacar mis tarjetas de &amp;,0.5,0.5
"también agradezco mucho a las personas que han querido hacer donaciones para el vestuario, sin duda lo agradezco y aprecio…",0.21428571428571427,0.5714285714285714
"Gracias, supongo que es así por semana santa, correcto? Saludos!",0.2,0.16
"Gracias, estaré pendiente a qué me responda",0.25,0.25
"Es que hay un secreto para que te contesten rápido, te lo cuento cuando estemos bebiendo y no, ojalá me paguen, me resuelven súper rápido.",0.11666666666666665,0.6166666666666667
Muchas gracias!,0.25,0.2
Muchas gracias ya me comuniqué y me dieron folio de seguimiento respecto a mi situación y estoy en espera que me revuelva lo antes posible!,0.13,0.63
Gracias a Tamos readys en PalNoe 🦁,0.2,0.2
"Bueno, intento más tarde, muchas gracias, Maite!! Un gusto saludae☺️",0.203125,0.13
"Habla al número que está en la tarjeta, yo lo hice así y no tuve ningún problema en españa ;)",0.25,1
"Te cuento lo que hice Yo tampoco tenía Historial pero tenía la de Nubank y hasta ahí todo bien, posterior fui con Heybanco, y realmente no interesaba usar su tarjeta.Pero vi que tenía un pagare y me interesóMe registre a la cuenta, no solicite plástico ni nada",0.44999999999999996,0.4
Ya resolví gracias,0.2,0.2
Gracias por darnos agüita en para no morir de disentería por el agua puerca de los bebedores de 🤢,0.2,0.2
Buenas tardes,0.7,0.6000000000000001
"¿Adivinen dónde estoy?¡Que buena experiencia, !",0.875,0.6000000000000001
"5/ Seguramente veremos a y dando más noticias de innovación y servicios, pero sobre todo generando más competencia en la industria financiera, lo cual beneficia a todos los usuarios.BancaDigital NuMéxico HeyBanco Innovación CompetenciaFinanciera Fintech",0.3,0.3977777777777778
"4/ La gran ventaja de es su experiencia de 5 años en el mercado, ganando terreno entre los jóvenes por sus servicios y por patrocinar festivales de música, lo que les permite crecer junto con sus clientes.",0.45,0.575
Gracias les volví a contestar el dm,0.2,0.16
"Gracias hey banco, solucionaron el problema.",0.2,0.2
Muchísimas gracias,0.2,0.2
Muchas gracias por su respuesta tan pronta.,0.18,0.28
"gracias por la pronta devolución, me sirvio para pagarle a",0.2,0.2
Muchas gracias mando DM a la brevedad,0.13,0.63
No má gracias tío estuvo fantástico este descuento del 50% en mi checkup en,0.11666666666666668,0.5333333333333333
"Super, gracias.",0.26666666666666666,0.43333333333333335
"Correcto, esperaré el contacto por pae de ustedes para arreglar la situación de mi inversión hey pro al 10%",0,0
muchas gracias,0.2,0.2
"Excelente, muchas gracias por su sopoe, tío hey. De igual manera quiero agregar que el error ya fue solucionado, y adicional, durante el día recibí un SMS donde me notificaban que debido a una incidencia se mostraba el 5% y que lo estaban trabajando. Nuevamente gracias 🫂",0.28375,0.44
Muchas gracias. Voy a comunicarme entonces.,0.2,0.16
"Están en proceso de resolver según mensajes que me están enviando los de hey banco, saludos.",0.15,0
Gracias,0.2,0.16
Ya me llego gracias,0.2,0.16
"Un gusto saludae Erich, ponemos a tu disposición nuestra cuenta de correo electrónico en la que con gusto atenderemos tus dudas, escríbenos: asesoria@condusef.gob.mx , recuerda que CONDUSEF te apoya.",0.5,1
el mejor banco &lt;3,1,0.3
"Uno de los productos más esperados del año!!!! En YouTube ya tenemos el unboxing, activación y pequeña navegación por el app de la tarjeta metálica de ! Les compao el link del video: TarjetaDeCrédito HeyBanco",0.375,0.45
Es la mejor que he visto hasta ahora,0.55,0.65
Excelente muchas gracias,0.63,0.63
muchas gracias por su respuesta!,0.325,0.26
"Llamar para pelear a me resta tiempo, kilos, neuronas, prácticamente me resta vida ese banco pitero.",-0.6,0.5
"hola, excelente tarde, me podrían ayudar con algo. Les mandé DM, por favor, muchas gracias 🙏",0.63,0.63
Me encanta que HeyBanco ya te manda notificación cuando se hace el cobro 🤙🏼,0.5,0.6
tienen algún tiempo estimado de respuesta,0,0
"Conociendo la contraseña y el usuario, se puede entrar fácilmente desde otro dispositivo y sin que te llegue algún tipo de notificación por vía SMS y correo electrónico, esto lo sabes muy bien",0.31666666666666665,0.5666666666666667
Eso explica todo,0,0
"Hola si, hoy por la mañana ya tenía de nuevo mi usuario y funcionó con normalidad mi app",0.15,0.6499999999999999
"Yo tengo la de garantía 😸, pero creo que voy bien, hasta cuántos meses se puede la de las normales, tengo inversión, nómina y cuenta de débitos ahi :)",0.3833333333333333,0.7166666666666667
Que bueno que no cambie mi nómina a,0.7,0.6000000000000001
Gracias por avisar,0.2,0.2
"Buen día, les envié un mensaje, espero me puedan ayudar. Gracias.",0.7,0.6000000000000001
"Buenos días, una vez más sigo en espera",0.7,0.6000000000000001
Gracias ya quedó resuelto,0.2,0.2
Qué tengas excelente mitad de semana.🔥🤔Para quienes aún tienen duda de cómo funciona la tarjeta Garantizada de 😉👉🏼https://t.co/b6iYPqXW4F,0.4166666666666667,0.5833333333333334
solicito apoyo,0,0
Qué tengas excelente mitad de semana.🔥🤔Para quienes aún tienen duda de cómo funciona la tarjeta Garantizada de 😉…,0.4166666666666667,0.5833333333333334
Ya quedó. Muchas gracias.,0.2,0.2
"Ok, gracias",0.35,0.35
Todo resuelto Gracias equipo,0.2,0.2
"Agradecido con que me ayudaron con una aclaración rapidísimo, cada día más feliz de haber dejado la banca tradicional por ustedes! 🙌",0.14444444444444446,0.4666666666666666
Muchas gracias 🫶,0.26,0.26
Hola buen día,0.7,0.6000000000000001
Gracias !,0.2,0.16
"Listo, enviado! Saludos",0.2,0.5
Me gusta heybanco para bajarles el mandado a los bancos españoles que dominan este país,0.04,0.3
yo presumiendo el 10% anual de HeyBanco y que Klar decide sacar 14%… muy tentador,0.2,0.3
YA RESUELVEME ME URGE HACER UNA COMPRA,-0.4,0.44
"Recomiendo ampliamente que usen y como alternativas a los llamados bancos tradicionales. Si sus bancos les están cobrando alguna comisión de cualquier tipo en sus cuentas de débito o peor aún, no están generando nada, entonces están en el lugar incorrecto.",-0.08,0.71
Gracias. Saludos,0.24,0.1
Gracias! Ya les respondi!,0.2,0.16
"Okay, Gracias",0.35,0.35
"Listo, ya se los mandé , gracias .",0.2,0.35
Con Hey siempre tienes el control de tus finanzas y ahora también el de todos tus movimientos gracias a las notificaciones qu…,0.2,0.2
gracias!,0.23,0.16
Con Hey siempre tienes el control de tus finanzas y ahora también el de todos tus movimientos gracias a las notificaciones qu…,0.2,0.2
Eficiencia,0,0.1
Muchas gracias nunca me contestó. Afounadamente ya ha quedado resuelto.,0.26,0.26
"¡Hola! Abre tu Cuenta Hey y obtén un boleto dorado cada mes para ganar.https://t.co/j45MnogZ Te recomiendo muchísimo la cuenta, de hecho la reseñan muy bien varios YouTubers de finanzas.",0.325,0.3875
Muchas gracias por el Boleto Dorado ☺️,0.28,0.38
Gracias por la apoación. Saludos,0.2,0.2
Esto es lo que yo llamo ServicioalCliente Mexico de verdad así es que un banco debe tratar a un cliente no es nada más meter el dinero. Aprendan,0.25,0.3125
"Buen día, es más fácil que usted obtenga el crédito con alguna caja popular, no hay peor lucha que la que no se hace, saludos",0.7,0.6000000000000001
Gracias,0.2,0.16
Gracias quedó en espera,0.2,0.2
les dejé un DM solicitando de su valioso apoyo.Saludos,0.1,0.2
Muchas gracias Un mes gratis de,0.33,0.53
"Gracias, ya envié mi duda",0.2,0.2
Gracias por responder! Me da mucho gusto que te hayan solucionado rápido. Ojalá así sea mi caso 🤞🏼Saludos,0.42500000000000004,0.6
"Gracias lic hace tres años, si usted dice que no me deben negar volveré a hacerlo, muy amable por su atención un abrazo",0.49,0.6
"Muchas gracias, si lo haré de nuevo un abrazo fuee 🫶",0.3466666666666667,0.4966666666666667
Por favor . Gracias,0.44,0.02
"Gracias, saludos",0.2,0.2
Muchas gracias por responder!Acabo de lograr el desbloqueo!,0.40625,0.26
"JAJAJAJJAJA VIC, trabajo en hey, cualquier duda no dudes en mandarme mensajito🫶🏻",0.2,0.6
Gracias,0,0
Las de tienen buenos diseños.,0.7,0.6000000000000001
Con Hey siempre tienes el control de tus finanzas y ahora también el de todos tus movimientos gracias a las notificaciones qu…,0.2,0.2
"Gracias, estoy al pendiente de la información.",0.25,0.25
